url,search_intent,primary_keyword,title,h1
/blog/panic-attack-what-happens-and-what-helps,Medical informational,what happens during a panic attack—and what helps,What Happens During a Panic Attack—and What Helps,What Happens During a Panic Attack—and What Helps
/blog/questions-before-psychiatric-medication,Medical informational,psychiatric medication: seven questions worth asking,Psychiatric Medication: Seven Questions Worth Asking,Psychiatric Medication: Seven Questions Worth Asking
/blog/when-should-a-child-see-a-psychiatrist,Medical informational,when should a child see a psychiatrist?,When Should a Child See a Psychiatrist?,When Should a Child See a Psychiatrist?
/blog/when-to-see-a-psychiatrist,Medical informational,when should you see a psychiatrist? a practical guide,When Should You See a Psychiatrist? A Practical Guide,When Should You See a Psychiatrist? A Practical Guide
/conditions,Branded informational,mental health conditions we treat,Mental Health Conditions We Treat,Understand the pattern. Find the right next step.
/conditions/adhd,Medical informational with consultation intent,adhd care in vijayawada,ADHD Care in Vijayawada,"ADHD : understand what is happening, without losing hope."
/conditions/adolescent-psychiatry,Medical informational with consultation intent,adolescent psychiatry care in vijayawada,Adolescent Psychiatry Care in Vijayawada,"Adolescent Psychiatry : understand what is happening, without losing hope."
/conditions/alcohol-addiction,Medical informational with consultation intent,alcohol addiction care in vijayawada,Alcohol Addiction Care in Vijayawada,"Alcohol Addiction : understand what is happening, without losing hope."
/conditions/alzheimers-disease,Medical informational with consultation intent,alzheimer's disease care in vijayawada,Alzheimer's Disease Care in Vijayawada,"Alzheimer's Disease : understand what is happening, without losing hope."
/conditions/anxiety,Medical informational with consultation intent,anxiety care in vijayawada,Anxiety Care in Vijayawada,"Anxiety : understand what is happening, without losing hope."
/conditions/autism,Medical informational with consultation intent,autism care in vijayawada,Autism Care in Vijayawada,"Autism : understand what is happening, without losing hope."
/conditions/behavior-problems,Medical informational with consultation intent,behavior problems care in vijayawada,Behavior Problems Care in Vijayawada,"Behavior Problems : understand what is happening, without losing hope."
/conditions/bipolar-disorder,Medical informational with consultation intent,bipolar disorder care in vijayawada,Bipolar Disorder Care in Vijayawada,"Bipolar Disorder : understand what is happening, without losing hope."
/conditions/child-psychiatry,Medical informational with consultation intent,child psychiatry care in vijayawada,Child Psychiatry Care in Vijayawada,"Child Psychiatry : understand what is happening, without losing hope."
/conditions/dementia,Medical informational with consultation intent,dementia care in vijayawada,Dementia Care in Vijayawada,"Dementia : understand what is happening, without losing hope."
/conditions/depression,Medical informational with consultation intent,depression care in vijayawada,Depression Care in Vijayawada,"Depression : understand what is happening, without losing hope."
/conditions/drug-addiction,Medical informational with consultation intent,drug addiction care in vijayawada,Drug Addiction Care in Vijayawada,"Drug Addiction : understand what is happening, without losing hope."
/conditions/family-counselling,Medical informational with consultation intent,family counselling care in vijayawada,Family Counselling Care in Vijayawada,"Family Counselling : understand what is happening, without losing hope."
/conditions/grief-counselling,Medical informational with consultation intent,grief counselling care in vijayawada,Grief Counselling Care in Vijayawada,"Grief Counselling : understand what is happening, without losing hope."
/conditions/learning-disorders,Medical informational with consultation intent,learning disorders care in vijayawada,Learning Disorders Care in Vijayawada,"Learning Disorders : understand what is happening, without losing hope."
/conditions/memory-problems,Medical informational with consultation intent,memory problems care in vijayawada,Memory Problems Care in Vijayawada,"Memory Problems : understand what is happening, without losing hope."
/conditions/ocd,Medical informational with consultation intent,obsessive-compulsive disorder (ocd) care in vijayawada,Obsessive-Compulsive Disorder (OCD) Care in Vijayawada,"Obsessive-Compulsive Disorder (OCD) : understand what is happening, without losing hope."
/conditions/old-age-psychiatry,Medical informational with consultation intent,old age psychiatry care in vijayawada,Old Age Psychiatry Care in Vijayawada,"Old Age Psychiatry : understand what is happening, without losing hope."
/conditions/panic-disorder,Medical informational with consultation intent,panic disorder care in vijayawada,Panic Disorder Care in Vijayawada,"Panic Disorder : understand what is happening, without losing hope."
/conditions/personality-disorders,Medical informational with consultation intent,personality disorders care in vijayawada,Personality Disorders Care in Vijayawada,"Personality Disorders : understand what is happening, without losing hope."
/conditions/postpartum-depression,Medical informational with consultation intent,postpartum depression care in vijayawada,Postpartum Depression Care in Vijayawada,"Postpartum Depression : understand what is happening, without losing hope."
/conditions/psychosis,Medical informational with consultation intent,psychosis care in vijayawada,Psychosis Care in Vijayawada,"Psychosis : understand what is happening, without losing hope."
/conditions/relationship-counselling,Medical informational with consultation intent,relationship counselling care in vijayawada,Relationship Counselling Care in Vijayawada,"Relationship Counselling : understand what is happening, without losing hope."
/conditions/schizophrenia,Medical informational with consultation intent,schizophrenia care in vijayawada,Schizophrenia Care in Vijayawada,"Schizophrenia : understand what is happening, without losing hope."
/conditions/sexual-disorders,Medical informational with consultation intent,sexual disorders care in vijayawada,Sexual Disorders Care in Vijayawada,"Sexual Disorders : understand what is happening, without losing hope."
/conditions/sleep-disorders,Medical informational with consultation intent,sleep disorders care in vijayawada,Sleep Disorders Care in Vijayawada,"Sleep Disorders : understand what is happening, without losing hope."
/conditions/smoking-addiction,Medical informational with consultation intent,smoking addiction care in vijayawada,Smoking Addiction Care in Vijayawada,"Smoking Addiction : understand what is happening, without losing hope."
/conditions/stress,Medical informational with consultation intent,stress care in vijayawada,Stress Care in Vijayawada,"Stress : understand what is happening, without losing hope."
/conditions/suicidal-thoughts,Medical informational with consultation intent,suicidal thoughts care in vijayawada,Suicidal Thoughts Care in Vijayawada,"Suicidal Thoughts : understand what is happening, without losing hope."
/conditions/womens-mental-health,Medical informational with consultation intent,women's mental health care in vijayawada,Women's Mental Health Care in Vijayawada,"Women's Mental Health : understand what is happening, without losing hope."
/contact,Local navigational / transactional,Krishna Neuro Psychiatric Centre contact Vijayawada,Contact Krishna Neuro Psychiatric Centre | Vijayawada,Contact Krishna Neuro Psychiatric Centre
/doctor/pamarthi-krishna-das,Branded navigational / local clinical,Dr Pamarthi Krishna Das psychiatrist,Dr. Pamarthi Krishna Das | Psychiatrist in Vijayawada,Dr. Pamarthi Krishna Das
/emergency,Urgent safety information,mental health emergency help in india,Mental Health Emergency Help in India,"If someone may not be safe, act now."
/faq,Informational / appointment support,psychiatric consultation faq | krishna neuro psychiatric centre,Psychiatric Consultation FAQ | Krishna Neuro Psychiatric Centre,Psychiatric Consultation Frequently Asked Questions
/gallery,Branded visual / trust,"clinic gallery — awareness, education & community care","Clinic Gallery — Awareness, Education & Community Care","Gallery: awareness, education and community care."
/patient-journey,Branded informational,your psychiatry appointment journey,Your Psychiatry Appointment Journey,A clear journey makes the first step feel lighter.
/privacy-policy,Legal / trust,privacy policy,Privacy Policy,Privacy policy
/psychiatrist-in-vijayawada,Local transactional,psychiatrist in vijayawada — dr. pamarthi krishna das,Psychiatrist in Vijayawada — Dr. Pamarthi Krishna Das,"Psychiatric care in Vijayawada, grounded in dignity and evidence."
/resources,Branded informational,mental health resources for patients & families,Mental Health Resources for Patients & Families,Good information should reduce fear—not create it.
/services,Branded informational,psychiatric services in vijayawada | krishna neuro psychiatric centre,Psychiatric Services in Vijayawada | Krishna Neuro Psychiatric Centre,Psychiatric & Mental Health Services in Vijayawada
/services/child-psychiatry,Service / consultation intent,child & adolescent psychiatry in vijayawada,Child & Adolescent Psychiatry in Vijayawada,Child & Adolescent Psychiatry
/services/counselling,Service / consultation intent,counselling in vijayawada,Counselling in Vijayawada,Counselling
/services/de-addiction,Service / consultation intent,de-addiction care in vijayawada,De-addiction Care in Vijayawada,De-addiction Care
/services/emergency-consultation,Service / consultation intent,urgent consultation guidance in vijayawada,Urgent Consultation Guidance in Vijayawada,Urgent Consultation Guidance
/services/family-counselling,Service / consultation intent,family counselling in vijayawada,Family Counselling in Vijayawada,Family Counselling
/services/medication-management,Service / consultation intent,medication management in vijayawada,Medication Management in Vijayawada,Medication Management
/services/psychiatric-consultation,Service / consultation intent,psychiatric consultation in vijayawada,Psychiatric Consultation in Vijayawada,Psychiatric Consultation
/services/sleep-clinic,Service / consultation intent,sleep clinic in vijayawada,Sleep Clinic in Vijayawada,Sleep Clinic
/services/stress-management,Service / consultation intent,stress management in vijayawada,Stress Management in Vijayawada,Stress Management
/services/tele-consultation,Service / consultation intent,tele consultation in vijayawada,Tele Consultation in Vijayawada,Tele Consultation
/te,Branded informational,విజయవాడలో సైకియాట్రిస్ట్ — డా. పామర్తి కృష్ణ దాస్,విజయవాడలో సైకియాట్రిస్ట్ — డా. పామర్తి కృష్ణ దాస్,లక్షణాలను మాత్రమే కాదు— మనిషిని చూసే మానసిక ఆరోగ్య సేవలు.
/te/about,Branded informational,కృష్ణ న్యూరో సైకియాట్రిక్ సెంటర్ గురించి,కృష్ణ న్యూరో సైకియాట్రిక్ సెంటర్ గురించి,డా. పామర్తి కృష్ణ దాస్
/te/appointment,Transactional appointment,సైకియాట్రిస్ట్ అపాయింట్‌మెంట్,సైకియాట్రిస్ట్ అపాయింట్‌మెంట్,ప్రారంభించేందుకు సరైన పదాలు అవసరం లేదు.
/te/blog,Branded informational,తెలుగు మానసిక ఆరోగ్య వ్యాసాలు,తెలుగు మానసిక ఆరోగ్య వ్యాసాలు,రోగులు మరియు కుటుంబాల కోసం తెలుగు మానసిక ఆరోగ్య గ్రంథాలయం.
/te/blog/adhd-assessment-what-to-expect,Medical informational,adhd అంచనాలో ఏమి జరుగుతుంది?,ADHD అంచనాలో ఏమి జరుగుతుంది?,ADHD అంచనాలో ఏమి జరుగుతుంది?
/te/blog/alcohol-withdrawal-safety,Medical informational,ఆల్కహాల్‌ను అకస్మాత్తుగా ఆపటం ఎందుకు ప్రమాదకరం?,ఆల్కహాల్‌ను అకస్మాత్తుగా ఆపటం ఎందుకు ప్రమాదకరం?,ఆల్కహాల్‌ను అకస్మాత్తుగా ఆపటం ఎందుకు ప్రమాదకరం?
/te/blog/baby-blues-postpartum-depression-psychosis,Medical informational,"బేబీ బ్లూస్, ప్రసవానంతర డిప్రెషన్ లేదా సైకోసిస్?","బేబీ బ్లూస్, ప్రసవానంతర డిప్రెషన్ లేదా సైకోసిస్?","బేబీ బ్లూస్, ప్రసవానంతర డిప్రెషన్ లేదా సైకోసిస్?"
/te/blog/chronic-insomnia-guide,Medical informational,దీర్ఘకాల ఇన్సోమ్నియాను మెరుగ్గా అర్థం చేసుకోవటం,దీర్ఘకాల ఇన్సోమ్నియాను మెరుగ్గా అర్థం చేసుకోవటం,దీర్ఘకాల ఇన్సోమ్నియాను మెరుగ్గా అర్థం చేసుకోవటం
/te/blog/depression-vs-sadness,Medical informational,డిప్రెషన్ లేదా సాధారణ దిగులు? తేడా ఎలా తెలుసుకోవాలి,డిప్రెషన్ లేదా సాధారణ దిగులు? తేడా ఎలా తెలుసుకోవాలి,డిప్రెషన్ లేదా సాధారణ దిగులు? తేడా ఎలా తెలుసుకోవాలి
/te/blog/how-to-talk-to-someone-experiencing-psychosis,Medical informational,సైకోసిస్ అనుభవిస్తున్న వ్యక్తితో ఎలా మాట్లాడాలి,సైకోసిస్ అనుభవిస్తున్న వ్యక్తితో ఎలా మాట్లాడాలి,సైకోసిస్ అనుభవిస్తున్న వ్యక్తితో ఎలా మాట్లాడాలి
/te/blog/normal-ageing-or-memory-problem,Medical informational,సాధారణ వృద్ధాప్యం లేదా జ్ఞాపక సమస్య?,సాధారణ వృద్ధాప్యం లేదా జ్ఞాపక సమస్య?,సాధారణ వృద్ధాప్యం లేదా జ్ఞాపక సమస్య?
/te/blog/ocd-more-than-cleanliness,Medical informational,ocd శుభ్రత మాత్రమే కాదు,OCD శుభ్రత మాత్రమే కాదు,OCD శుభ్రత మాత్రమే కాదు
/te/blog/panic-attack-what-happens-and-what-helps,Medical informational,పానిక్ అటాక్ సమయంలో శరీరంలో ఏమి జరుగుతుంది?,పానిక్ అటాక్ సమయంలో శరీరంలో ఏమి జరుగుతుంది?,పానిక్ అటాక్ సమయంలో శరీరంలో ఏమి జరుగుతుంది?
/te/blog/questions-before-psychiatric-medication,Medical informational,మానసిక మందులు ప్రారంభించే ముందు అడగాల్సిన ఏడు ప్రశ్నలు,మానసిక మందులు ప్రారంభించే ముందు అడగాల్సిన ఏడు ప్రశ్నలు,మానసిక మందులు ప్రారంభించే ముందు అడగాల్సిన ఏడు ప్రశ్నలు
/te/blog/when-should-a-child-see-a-psychiatrist,Medical informational,పిల్లవాడు సైకియాట్రిస్ట్‌ను ఎప్పుడు చూడాలి?,పిల్లవాడు సైకియాట్రిస్ట్‌ను ఎప్పుడు చూడాలి?,పిల్లవాడు సైకియాట్రిస్ట్‌ను ఎప్పుడు చూడాలి?
/te/blog/when-to-see-a-psychiatrist,Medical informational,సైకియాట్రిస్ట్‌ను ఎప్పుడు సంప్రదించాలి?,సైకియాట్రిస్ట్‌ను ఎప్పుడు సంప్రదించాలి?,సైకియాట్రిస్ట్‌ను ఎప్పుడు సంప్రదించాలి?
/te/conditions,Branded informational,మానసిక ఆరోగ్య పరిస్థితులు,మానసిక ఆరోగ్య పరిస్థితులు,మానసిక ఆరోగ్య పరిస్థితులను సులభమైన తెలుగులో అర్థం చేసుకోండి.
/te/conditions/adhd,Medical informational with consultation intent,adhd చికిత్స విజయవాడ,ADHD చికిత్స విజయవాడ,ADHD: ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/adolescent-psychiatry,Medical informational with consultation intent,కిశోరుల మానసిక ఆరోగ్యం చికిత్స విజయవాడ,కిశోరుల మానసిక ఆరోగ్యం చికిత్స విజయవాడ,కిశోరుల మానసిక ఆరోగ్యం: ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/alcohol-addiction,Medical informational with consultation intent,ఆల్కహాల్ వ్యసనం చికిత్స విజయవాడ,ఆల్కహాల్ వ్యసనం చికిత్స విజయవాడ,ఆల్కహాల్ వ్యసనం: ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/alzheimers-disease,Medical informational with consultation intent,అల్జీమర్స్ వ్యాధి చికిత్స విజయవాడ,అల్జీమర్స్ వ్యాధి చికిత్స విజయవాడ,అల్జీమర్స్ వ్యాధి: ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/anxiety,Medical informational with consultation intent,యాంగ్జైటీ (ఆందోళన) చికిత్స విజయవాడ,యాంగ్జైటీ (ఆందోళన) చికిత్స విజయవాడ,యాంగ్జైటీ (ఆందోళన): ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/autism,Medical informational with consultation intent,ఆటిజం చికిత్స విజయవాడ,ఆటిజం చికిత్స విజయవాడ,ఆటిజం: ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/behavior-problems,Medical informational with consultation intent,ప్రవర్తనా సమస్యలు చికిత్స విజయవాడ,ప్రవర్తనా సమస్యలు చికిత్స విజయవాడ,ప్రవర్తనా సమస్యలు: ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/bipolar-disorder,Medical informational with consultation intent,బైపోలార్ డిసార్డర్ చికిత్స విజయవాడ,బైపోలార్ డిసార్డర్ చికిత్స విజయవాడ,బైపోలార్ డిసార్డర్: ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/child-psychiatry,Medical informational with consultation intent,పిల్లల మానసిక ఆరోగ్యం చికిత్స విజయవాడ,పిల్లల మానసిక ఆరోగ్యం చికిత్స విజయవాడ,పిల్లల మానసిక ఆరోగ్యం: ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/dementia,Medical informational with consultation intent,డిమెన్షియా చికిత్స విజయవాడ,డిమెన్షియా చికిత్స విజయవాడ,డిమెన్షియా: ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/depression,Medical informational with consultation intent,డిప్రెషన్ (నిరాశ) చికిత్స విజయవాడ,డిప్రెషన్ (నిరాశ) చికిత్స విజయవాడ,డిప్రెషన్ (నిరాశ): ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/drug-addiction,Medical informational with consultation intent,డ్రగ్ వ్యసనం చికిత్స విజయవాడ,డ్రగ్ వ్యసనం చికిత్స విజయవాడ,డ్రగ్ వ్యసనం: ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/family-counselling,Medical informational with consultation intent,కుటుంబ కౌన్సెలింగ్ చికిత్స విజయవాడ,కుటుంబ కౌన్సెలింగ్ చికిత్స విజయవాడ,కుటుంబ కౌన్సెలింగ్: ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/grief-counselling,Medical informational with consultation intent,దుఃఖం / నష్టం కౌన్సెలింగ్ చికిత్స విజయవాడ,దుఃఖం / నష్టం కౌన్సెలింగ్ చికిత్స విజయవాడ,దుఃఖం / నష్టం కౌన్సెలింగ్: ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/learning-disorders,Medical informational with consultation intent,లెర్నింగ్ డిసార్డర్స్ చికిత్స విజయవాడ,లెర్నింగ్ డిసార్డర్స్ చికిత్స విజయవాడ,లెర్నింగ్ డిసార్డర్స్: ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/memory-problems,Medical informational with consultation intent,జ్ఞాపకశక్తి సమస్యలు చికిత్స విజయవాడ,జ్ఞాపకశక్తి సమస్యలు చికిత్స విజయవాడ,జ్ఞాపకశక్తి సమస్యలు: ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/ocd,Medical informational with consultation intent,ocd (అబ్సెసివ్ కంపల్సివ్ డిసార్డర్) చికిత్స విజయవాడ,OCD (అబ్సెసివ్ కంపల్సివ్ డిసార్డర్) చికిత్స విజయవాడ,OCD (అబ్సెసివ్ కంపల్సివ్ డిసార్డర్): ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/old-age-psychiatry,Medical informational with consultation intent,వృద్ధాప్య మానసిక ఆరోగ్యం చికిత్స విజయవాడ,వృద్ధాప్య మానసిక ఆరోగ్యం చికిత్స విజయవాడ,వృద్ధాప్య మానసిక ఆరోగ్యం: ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/panic-disorder,Medical informational with consultation intent,పానిక్ డిసార్డర్ చికిత్స విజయవాడ,పానిక్ డిసార్డర్ చికిత్స విజయవాడ,పానిక్ డిసార్డర్: ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/personality-disorders,Medical informational with consultation intent,పర్సనాలిటీ డిసార్డర్స్ చికిత్స విజయవాడ,పర్సనాలిటీ డిసార్డర్స్ చికిత్స విజయవాడ,పర్సనాలిటీ డిసార్డర్స్: ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/postpartum-depression,Medical informational with consultation intent,ప్రసవానంతర డిప్రెషన్ చికిత్స విజయవాడ,ప్రసవానంతర డిప్రెషన్ చికిత్స విజయవాడ,ప్రసవానంతర డిప్రెషన్: ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/psychosis,Medical informational with consultation intent,సైకోసిస్ చికిత్స విజయవాడ,సైకోసిస్ చికిత్స విజయవాడ,సైకోసిస్: ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/relationship-counselling,Medical informational with consultation intent,దాంపత్య / సంబంధ కౌన్సెలింగ్ చికిత్స విజయవాడ,దాంపత్య / సంబంధ కౌన్సెలింగ్ చికిత్స విజయవాడ,దాంపత్య / సంబంధ కౌన్సెలింగ్: ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/schizophrenia,Medical informational with consultation intent,స్కిజోఫ్రీనియా చికిత్స విజయవాడ,స్కిజోఫ్రీనియా చికిత్స విజయవాడ,స్కిజోఫ్రీనియా: ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/sexual-disorders,Medical informational with consultation intent,లైంగిక ఆరోగ్య సమస్యలు చికిత్స విజయవాడ,లైంగిక ఆరోగ్య సమస్యలు చికిత్స విజయవాడ,లైంగిక ఆరోగ్య సమస్యలు: ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/sleep-disorders,Medical informational with consultation intent,నిద్ర సమస్యలు చికిత్స విజయవాడ,నిద్ర సమస్యలు చికిత్స విజయవాడ,నిద్ర సమస్యలు: ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/smoking-addiction,Medical informational with consultation intent,పొగాకు / నికోటిన్ వ్యసనం చికిత్స విజయవాడ,పొగాకు / నికోటిన్ వ్యసనం చికిత్స విజయవాడ,పొగాకు / నికోటిన్ వ్యసనం: ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/stress,Medical informational with consultation intent,ఒత్తిడి (స్ట్రెస్) చికిత్స విజయవాడ,ఒత్తిడి (స్ట్రెస్) చికిత్స విజయవాడ,ఒత్తిడి (స్ట్రెస్): ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/suicidal-thoughts,Medical informational with consultation intent,ఆత్మహత్య ఆలోచనలు చికిత్స విజయవాడ,ఆత్మహత్య ఆలోచనలు చికిత్స విజయవాడ,ఆత్మహత్య ఆలోచనలు: ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/conditions/womens-mental-health,Medical informational with consultation intent,మహిళల మానసిక ఆరోగ్యం చికిత్స విజయవాడ,మహిళల మానసిక ఆరోగ్యం చికిత్స విజయవాడ,మహిళల మానసిక ఆరోగ్యం: ఏమి జరుగుతుందో అర్థం చేసుకుని ఆశతో ముందుకు సాగండి.
/te/contact,Local navigational / transactional,కృష్ణ న్యూరో సైకియాట్రిక్ సెంటర్ సంప్రదింపు,క్లినిక్ సంప్రదింపు,మీకు సులభమైన విధంగా క్లినిక్‌ను సంప్రదించండి.
/te/doctor/pamarthi-krishna-das,Branded navigational / local clinical,డా. పామర్తి కృష్ణ దాస్,డా. పామర్తి కృష్ణ దాస్ | విజయవాడ సైకియాట్రిస్ట్,డా. పామర్తి కృష్ణ దాస్
/te/emergency,Urgent safety information,మానసిక ఆరోగ్య అత్యవసర సహాయం,మానసిక ఆరోగ్య అత్యవసర సహాయం,ఎవరైనా భద్రంగా ఉండకపోతే ఇప్పుడే చర్య తీసుకోండి.
/te/faq,Informational / appointment support,తరచుగా అడిగే ప్రశ్నలు,తరచుగా అడిగే ప్రశ్నలు,సైకియాట్రిక్ కన్సల్టేషన్ గురించి తరచుగా అడిగే ప్రశ్నలు
/te/gallery,Branded visual / trust,క్లినిక్ గ్యాలరీ,క్లినిక్ గ్యాలరీ,"గ్యాలరీ: అవగాహన, విద్య మరియు సమాజ సంరక్షణ."
/te/patient-journey,Branded informational,రోగి ప్రయాణం,రోగి ప్రయాణం,ఒక్కో స్పష్టమైన అడుగుతో రోగి ప్రయాణం.
/te/privacy-policy,Legal / trust,గోప్యతా విధానం,గోప్యతా విధానం,గోప్యతా విధానం
/te/psychiatrist-in-vijayawada,Local transactional,విజయవాడలో సైకియాట్రిస్ట్,విజయవాడలో సైకియాట్రిస్ట్,గౌరవం మరియు ఆధారాలతో కూడిన విజయవాడ సైకియాట్రిక్ సంరక్షణ.
/te/resources,Branded informational,మానసిక ఆరోగ్య వనరులు,మానసిక ఆరోగ్య వనరులు,మంచి సమాచారం భయాన్ని తగ్గించాలి.
/te/services,Branded informational,సైకియాట్రిక్ సేవలు,సైకియాట్రిక్ సేవలు,అవసరానికి తగిన సేవ—ఒకే విధానం అందరికీ కాదు.
/te/services/child-psychiatry,Service / consultation intent,పిల్లలు మరియు కిశోరుల సైకియాట్రీ విజయవాడ,పిల్లలు మరియు కిశోరుల సైకియాట్రీ విజయవాడ,పిల్లలు మరియు కిశోరుల సైకియాట్రీ
/te/services/counselling,Service / consultation intent,కౌన్సెలింగ్ విజయవాడ,కౌన్సెలింగ్ విజయవాడ,కౌన్సెలింగ్
/te/services/de-addiction,Service / consultation intent,వ్యసన విముక్తి సేవలు విజయవాడ,వ్యసన విముక్తి సేవలు విజయవాడ,వ్యసన విముక్తి సేవలు
/te/services/emergency-consultation,Service / consultation intent,అత్యవసర కన్సల్టేషన్ మార్గదర్శకం విజయవాడ,అత్యవసర కన్సల్టేషన్ మార్గదర్శకం విజయవాడ,అత్యవసర కన్సల్టేషన్ మార్గదర్శకం
/te/services/family-counselling,Service / consultation intent,కుటుంబ కౌన్సెలింగ్ విజయవాడ,కుటుంబ కౌన్సెలింగ్ విజయవాడ,కుటుంబ కౌన్సెలింగ్
/te/services/medication-management,Service / consultation intent,మందుల నిర్వహణ విజయవాడ,మందుల నిర్వహణ విజయవాడ,మందుల నిర్వహణ
/te/services/psychiatric-consultation,Service / consultation intent,మానసిక వైద్య సంప్రదింపు విజయవాడ,మానసిక వైద్య సంప్రదింపు విజయవాడ,మానసిక వైద్య సంప్రదింపు
/te/services/sleep-clinic,Service / consultation intent,స్లీప్ క్లినిక్ విజయవాడ,స్లీప్ క్లినిక్ విజయవాడ,స్లీప్ క్లినిక్
/te/services/stress-management,Service / consultation intent,ఒత్తిడి నిర్వహణ విజయవాడ,ఒత్తిడి నిర్వహణ విజయవాడ,ఒత్తిడి నిర్వహణ
